id,category,keyword,example_user_text
1,MENTAL_STRESS,stress,I am under a lot of stress
2,MENTAL_STRESS,stressed,I feel very stressed these days
3,MENTAL_STRESS,anxiety,I have anxiety problems
4,MENTAL_STRESS,anxious,I am feeling anxious
5,MENTAL_STRESS,tension,There is tension in my mind
6,MENTAL_STRESS,overthinking,I overthink a lot
7,MENTAL_STRESS,worry,I always worry about everything
8,MENTAL_STRESS,panic,Sometimes I get panic attacks
9,MENTAL_STRESS,mental stress,I am facing mental stress
10,MENTAL_STRESS,emotional stress,I am under emotional stress
11,MENTAL_STRESS,psychological stress,I feel psychological stress
12,MENTAL_STRESS,mental pressure,There is too much mental pressure on me
13,MENTAL_STRESS,work stress,I have a lot of work stress
14,MENTAL_STRESS,study stress,My studies are causing stress
15,MENTAL_STRESS,exam stress,I am stressed because of exams
16,MENTAL_STRESS,job pressure,My job pressure is increasing
17,MENTAL_STRESS,restlessness,I feel restless all the time
18,MENTAL_STRESS,nervousness,I feel nervous for no reason
19,MENTAL_STRESS,fear,I have a lot of fear in my mind
20,MENTAL_STRESS,panic disorder,I think I have panic disorder
21,MENTAL_STRESS,uneasiness,I feel uneasy and uncomfortable
22,MENTAL_STRESS,mental fatigue,I feel mentally tired
23,MENTAL_STRESS,brain fatigue,My brain feels exhausted
24,MENTAL_STRESS,irritation,I get irritated very easily
25,MENTAL_STRESS,anger issues,I have anger issues
26,MENTAL_STRESS,mood swings,I experience frequent mood swings
27,MENTAL_STRESS,frustration,I feel frustrated all the time
28,MENTAL_STRESS,hopelessness,I feel hopeless these days
29,MENTAL_STRESS,helplessness,I feel helpless mentally
30,MENTAL_STRESS,loneliness,I feel lonely and stressed
31,MENTAL_STRESS,mental imbalance,I feel mentally imbalanced
32,MENTAL_STRESS,low confidence,I have very low confidence
33,MENTAL_STRESS,self doubt,I keep doubting myself
34,MENTAL_STRESS,negative thoughts,I get negative thoughts
35,MENTAL_STRESS,overloaded mind,My mind feels overloaded
36,MENTAL_STRESS,mental disturbance,I have mental disturbance
37,MENTAL_STRESS,emotional pain,I feel emotional pain
38,MENTAL_STRESS,mental discomfort,I feel mental discomfort
39,MENTAL_STRESS,stress headache,I get headaches due to stress
40,MENTAL_STRESS,pressure,I cannot handle the pressure
41,MENTAL_STRESS,worrying thoughts,I have worrying thoughts
42,MENTAL_STRESS,mental chaos,There is mental chaos in my mind
43,MENTAL_STRESS,emotional imbalance,I feel emotionally imbalanced
44,MENTAL_STRESS,anxiety attack,I get anxiety attacks
45,MENTAL_STRESS,panic feeling,I suddenly feel panic
46,MENTAL_STRESS,stressful life,My life is very stressful
47,MENTAL_STRESS,mental overload,I am suffering from mental overload
48,MENTAL_STRESS,constant worry,I am in constant worry
49,MENTAL_STRESS,emotional pressure,I feel emotional pressure
50,MENTAL_STRESS,inner fear,I have inner fear
51,MENTAL_STRESS,mental weakness,I feel mentally weak
52,MENTAL_STRESS,emotional weakness,I feel emotionally weak
53,MENTAL_STRESS,thinking too much,I am thinking too much
54,MENTAL_STRESS,mental tension,I have mental tension
55,MENTAL_STRESS,stress disorder,I think I have stress disorder
56,MENTAL_STRESS,mental pain,I feel mental pain
57,MENTAL_STRESS,psychological pressure,I feel psychological pressure
58,MENTAL_STRESS,anxiety problem,I have anxiety problem
59,MENTAL_STRESS,stress problem,I have stress problem
60,MENTAL_STRESS,emotional stress disorder,I have emotional stress disorder
61,MENTAL_STRESS,mental health issue,I have mental health issues
62,MENTAL_STRESS,disturbed mind,My mind is disturbed
63,MENTAL_STRESS,stress symptoms,I am experiencing stress symptoms
64,MENTAL_STRESS,anxiety symptoms,I have anxiety symptoms
65,MENTAL_STRESS,mental discomfort,My mind feels uncomfortable
66,MENTAL_STRESS,emotional instability,I feel emotionally unstable
67,MENTAL_STRESS,mental instability,I feel mentally unstable
68,MENTAL_STRESS,constant tension,I am in constant tension
69,MENTAL_STRESS,overloaded thoughts,My thoughts are overloaded
70,MENTAL_STRESS,mental stress problem,I have mental stress problem
71,MENTAL_STRESS,stress condition,I am in a stressful condition
72,MENTAL_STRESS,anxiety condition,I am in an anxious condition
73,MENTAL_STRESS,pressure feeling,I feel pressure all the time
74,MENTAL_STRESS,mental heaviness,I feel heaviness in my mind
75,MENTAL_STRESS,emotional burden,I feel emotional burden
76,MENTAL_STRESS,inner tension,I feel inner tension
77,MENTAL_STRESS,mental load,I have mental load
78,MENTAL_STRESS,stressful thoughts,I have stressful thoughts
79,MENTAL_STRESS,mental confusion,I feel mentally confused
80,MENTAL_STRESS,emotional confusion,I feel emotionally confused
81,MENTAL_STRESS,psychological discomfort,I feel psychological discomfort
82,MENTAL_STRESS,anxiety stress,I have anxiety stress
83,MENTAL_STRESS,mental strain,I feel mental strain
84,MENTAL_STRESS,emotional strain,I feel emotional strain
85,MENTAL_STRESS,stress anxiety,I have stress and anxiety
86,MENTAL_STRESS,mental exhaustion,I feel mentally exhausted
87,MENTAL_STRESS,emotional exhaustion,I feel emotionally exhausted
88,MENTAL_STRESS,pressure anxiety,I feel pressure anxiety
89,MENTAL_STRESS,mental disturbance problem,I have mental disturbance problem
90,MENTAL_STRESS,stress overload,I am stressed and overloaded
91,MENTAL_STRESS,anxious thoughts,I have anxious thoughts
92,MENTAL_STRESS,stress fear,I feel stress and fear
93,MENTAL_STRESS,mental breakdown,I fear mental breakdown
94,MENTAL_STRESS,panic stress,I have panic and stress
95,MENTAL_STRESS,mental restlessness,I feel mental restlessness
96,MENTAL_STRESS,emotional tension,I have emotional tension
97,MENTAL_STRESS,stress anxiety disorder,I have stress anxiety disorder
98,MENTAL_STRESS,mental anxiety,I feel mental anxiety
99,MENTAL_STRESS,psychological anxiety,I feel psychological anxiety
100,MENTAL_STRESS,emotional anxiety,I feel emotional anxiety
101,MENTAL_STRESS,mental burden,I feel mental burden
102,BACK_PAIN,back pain,I have back pain
103,BACK_PAIN,lower back,My lower back is hurting
104,BACK_PAIN,spine,Pain in my spine area
105,BACK_PAIN,slip disc,Doctor said I have a slip disc
106,BACK_PAIN,sciatica,I have sciatica pain
107,BACK_PAIN,upper back,I have pain in my upper back
108,BACK_PAIN,lower back pain,I am suffering from lower back pain
109,BACK_PAIN,spine pain,I feel pain in my spine
110,BACK_PAIN,back ache,I have a constant back ache
111,BACK_PAIN,lumbar pain,I have lumbar pain
112,BACK_PAIN,back stiffness,My back feels very stiff
113,BACK_PAIN,spinal pain,I am experiencing spinal pain
114,BACK_PAIN,slip disc,Doctor told me I have slip disc
115,BACK_PAIN,disc problem,I have a disc problem in my back
116,BACK_PAIN,sciatica,I am suffering from sciatica
117,BACK_PAIN,nerve pain,I have nerve pain in my back
118,BACK_PAIN,back injury,I had a back injury earlier
119,BACK_PAIN,back strain,I have strained my back
120,BACK_PAIN,chronic back pain,I have chronic back pain
121,BACK_PAIN,back discomfort,I feel discomfort in my back
122,BACK_PAIN,spine stiffness,My spine feels stiff
123,BACK_PAIN,lower spine pain,I have pain in my lower spine
124,BACK_PAIN,upper spine pain,Pain occurs in my upper spine
125,BACK_PAIN,back muscle pain,My back muscles are paining
126,BACK_PAIN,back tightness,I feel tightness in my back
127,BACK_PAIN,posture pain,My posture is causing back pain
128,BACK_PAIN,back pressure,I feel pressure in my back
129,BACK_PAIN,back weakness,My back feels weak
130,BACK_PAIN,spinal discomfort,I have spinal discomfort
131,BACK_PAIN,back soreness,My back feels sore
132,BACK_PAIN,lumbar stiffness,I feel stiffness in lumbar area
133,BACK_PAIN,lower back ache,I have ache in my lower back
134,BACK_PAIN,upper back ache,My upper back aches
135,BACK_PAIN,back pain problem,I have a serious back pain problem
136,BACK_PAIN,spine issue,I have an issue with my spine
137,BACK_PAIN,back stress,Stress is causing back pain
138,BACK_PAIN,back tension,I feel tension in my back
139,BACK_PAIN,disc pain,I have pain due to disc issue
140,BACK_PAIN,back inflammation,I have inflammation in my back
141,BACK_PAIN,lower back discomfort,I feel discomfort in lower back
142,BACK_PAIN,spinal strain,My spine is strained
143,BACK_PAIN,back pain while sitting,I get back pain while sitting
144,BACK_PAIN,back pain while standing,I feel back pain while standing
145,BACK_PAIN,back pain while walking,I experience back pain while walking
146,BACK_PAIN,back pain while sleeping,I have back pain while sleeping
147,BACK_PAIN,back pain continuously,I have continuous back pain
148,OBESITY,overweight,I am overweight and want to reduce
149,OBESITY,fat,I have too much body fat
150,OBESITY,obesity,I am suffering from obesity
151,OBESITY,weight gain,I am gaining weight continuously
152,OBESITY,weight loss,I want to do yoga for weight loss
153,OBESITY,belly fat,I want to reduce belly fat
154,OBESITY,overweight,I am overweight and want to reduce
155,OBESITY,body fat,I have too much body fat
156,OBESITY,obesity,I am suffering from obesity
157,OBESITY,weight gain,I am gaining weight continuously
158,OBESITY,extra weight,I have extra weight on my body
159,OBESITY,belly fat,I want to reduce belly fat
160,OBESITY,stomach fat,I have stomach fat
161,OBESITY,tummy fat,I want to reduce my tummy fat
162,OBESITY,excess fat,I have excess fat in my body
163,OBESITY,weight problem,I have a serious weight problem
164,OBESITY,obese,I am obese and need help
165,OBESITY,high body weight,My body weight is very high
166,OBESITY,weight increase,My weight is increasing day by day
167,OBESITY,unhealthy weight,I have unhealthy body weight
168,OBESITY,fat body,My body has become very fat
169,OBESITY,heavy body,My body feels very heavy
170,OBESITY,weight imbalance,I have weight imbalance
171,OBESITY,over body weight,I have over body weight
172,OBESITY,body heaviness,I feel heaviness in my body
173,OBESITY,fat accumulation,I have fat accumulation
174,OBESITY,weight issues,I am facing weight issues
175,OBESITY,extra fat,I have extra fat
176,OBESITY,body fat increase,My body fat is increasing
177,OBESITY,weight management,I need help with weight management
178,OBESITY,weight reduction,I want weight reduction
179,OBESITY,lose weight,I want to lose weight
180,OBESITY,weight loss,I am looking for weight loss yoga
181,OBESITY,fat loss,I want fat loss
182,OBESITY,body shaping,I want body shaping
183,OBESITY,overweight problem,I have overweight problem
184,OBESITY,obesity problem,I have obesity problem
185,OBESITY,weight disorder,I think I have weight disorder
186,OBESITY,unbalanced weight,My weight is unbalanced
187,OBESITY,body mass increase,My body mass is increasing
188,OBESITY,high BMI,My BMI is very high
189,OBESITY,body weight issue,I have body weight issues
190,OBESITY,fat problem,I have fat problem
191,OBESITY,weight control,I want to control my weight
192,OBESITY,excess body weight,I have excess body weight
193,OBESITY,over fat,My body has over fat
194,OBESITY,weight pressure,My weight is putting pressure on me
195,OBESITY,body fat problem,I have body fat problem
196,OBESITY,obesity condition,I am in obesity condition
197,OBESITY,heavy weight,I am carrying heavy weight
198,OBESITY,weight overload,I feel weight overload
199,OBESITY,body mass,My body mass is high
200,OBESITY,overweight condition,I am in overweight condition
201,OBESITY,body fat excess,I have excess body fat
202,OBESITY,weight stress,My weight is stressing me
203,OBESITY,physical heaviness,I feel physically heavy
204,OBESITY,weight difficulty,I have difficulty managing weight
205,OBESITY,unfit body weight,My body weight is unfit
206,OBESITY,excess calories,I think excess calories caused my weight gain
207,OBESITY,weight imbalance problem,I have weight imbalance problem
208,OBESITY,fat gain,I am gaining fat
209,OBESITY,obesity symptoms,I am experiencing obesity symptoms
210,OBESITY,body fat disorder,I think I have body fat disorder
211,OBESITY,over size body,My body size has increased
212,OBESITY,weight growth,My weight is growing fast
213,OBESITY,extra kilos,I have extra kilos
214,OBESITY,body size increase,My body size is increasing
215,OBESITY,obesity risk,I am at obesity risk
216,OBESITY,weight related issue,I have weight related issue
217,OBESITY,over nourishment,Over nourishment caused my weight gain
218,OBESITY,weight trouble,My weight is troubling me
219,OBESITY,body mass problem,I have body mass problem
220,OBESITY,weight difficulty problem,Weight management is difficult for me
221,OBESITY,fat storage,My body stores too much fat
222,OBESITY,weight imbalance issue,I have weight imbalance issue
223,OBESITY,body heaviness problem,I feel body heaviness problem
224,OBESITY,excess weight problem,I have excess weight problem
225,OBESITY,weight concern,My weight is my main concern
226,OBESITY,body fat concern,I am concerned about body fat
227,OBESITY,obesity worry,I worry about my obesity
228,OBESITY,weight anxiety,I have anxiety about my weight
229,OBESITY,overweight stress,My overweight is stressing me
230,OBESITY,weight management issue,I have weight management issue
231,OBESITY,fat reduction,I want fat reduction
232,OBESITY,weight reduction goal,My goal is weight reduction
233,OBESITY,body transformation,I want body transformation
234,OBESITY,over fat body,My body is over fat
235,OBESITY,weight improvement,I want weight improvement
236,OBESITY,body weight improvement,I want to improve my body weight
237,OBESITY,obesity control,I want to control obesity
238,OBESITY,weight health issue,My weight is a health issue
239,OBESITY,body fat health issue,Body fat is causing health issues
240,OBESITY,weight problem continuously,I have continuous weight problem
241,FLEXIBILITY,stiff,My body is very stiff
242,FLEXIBILITY,flexibility,I want to improve flexibility
243,FLEXIBILITY,stretch,I want stretching yoga
244,FLEXIBILITY,stiff,My body is very stiff
245,FLEXIBILITY,flexibility,I want to improve flexibility
246,FLEXIBILITY,body stiffness,I feel body stiffness
247,FLEXIBILITY,muscle stiffness,My muscles are stiff
248,FLEXIBILITY,joint stiffness,I have stiffness in my joints
249,FLEXIBILITY,rigid body,My body feels rigid
250,FLEXIBILITY,less flexibility,I have very less flexibility
251,FLEXIBILITY,tight body,My body feels tight
252,FLEXIBILITY,tight muscles,My muscles are very tight
253,FLEXIBILITY,stretching,I want stretching exercises
254,FLEXIBILITY,stretch yoga,I want stretch yoga
255,FLEXIBILITY,flexible body,I want a flexible body
256,FLEXIBILITY,body tightness,I feel tightness in my body
257,FLEXIBILITY,poor flexibility,My flexibility is poor
258,FLEXIBILITY,stiff muscles,My muscles feel stiff
259,FLEXIBILITY,hard joints,My joints feel hard
260,FLEXIBILITY,body rigidity,I feel body rigidity
261,FLEXIBILITY,limited movement,I have limited body movement
262,FLEXIBILITY,restricted movement,My movements are restricted
263,FLEXIBILITY,stretch problem,I have stretch problems
264,FLEXIBILITY,unable to bend,I am unable to bend properly
265,FLEXIBILITY,body tight,My body is very tight
266,FLEXIBILITY,stiff legs,My legs feel stiff
267,FLEXIBILITY,stiff arms,My arms are stiff
268,FLEXIBILITY,neck stiffness,I have neck stiffness
269,FLEXIBILITY,shoulder stiffness,My shoulders are stiff
270,FLEXIBILITY,hip stiffness,I feel stiffness in hips
271,FLEXIBILITY,hamstring tightness,My hamstrings are tight
272,FLEXIBILITY,lower body stiffness,My lower body feels stiff
273,FLEXIBILITY,upper body stiffness,My upper body feels stiff
274,FLEXIBILITY,muscle tightness,I have muscle tightness
275,FLEXIBILITY,body stretch issue,I have body stretch issues
276,FLEXIBILITY,poor stretching,I am poor at stretching
277,FLEXIBILITY,body inflexibility,My body is inflexible
278,FLEXIBILITY,flexibility problem,I have flexibility problems
279,FLEXIBILITY,body hardness,My body feels hard
280,FLEXIBILITY,joint tightness,My joints feel tight
281,FLEXIBILITY,limited flexibility,I have limited flexibility
282,FLEXIBILITY,stiff posture,My posture is stiff
283,FLEXIBILITY,rigid muscles,My muscles are rigid
284,FLEXIBILITY,body movement issue,I have body movement issues
285,FLEXIBILITY,flexibility improvement,I want flexibility improvement
286,FLEXIBILITY,stretch goal,My goal is stretching
287,FLEXIBILITY,flexibility training,I want flexibility training
288,FLEXIBILITY,body loosening,I want to loosen my body
289,FLEXIBILITY,stretch practice,I want stretch practice
290,FLEXIBILITY,flexibility increase,I want to increase flexibility
291,FLEXIBILITY,body tight problem,I have body tight problem
292,FLEXIBILITY,stiff back,My back feels stiff
293,FLEXIBILITY,stiff neck,My neck is stiff
294,FLEXIBILITY,joint flexibility,I want joint flexibility
295,FLEXIBILITY,body looseness,I want body looseness
296,FLEXIBILITY,poor mobility,My mobility is poor
297,FLEXIBILITY,mobility issue,I have mobility issues
298,FLEXIBILITY,flexibility exercise,I want flexibility exercises
299,FLEXIBILITY,stretch discomfort,Stretching causes discomfort
300,FLEXIBILITY,flexibility pain,I feel pain while stretching
301,FLEXIBILITY,body stiffness issue,I have body stiffness issue
302,FLEXIBILITY,flexibility yoga,I want flexibility yoga
303,FLEXIBILITY,stretch routine,I want a stretch routine
304,FLEXIBILITY,body mobility,I want better body mobility
305,FLEXIBILITY,stiff joints,My joints are stiff
306,FLEXIBILITY,muscle rigidity,I feel muscle rigidity
307,FLEXIBILITY,body stretch need,I need body stretching
308,FLEXIBILITY,flexibility limitation,I have flexibility limitations
309,FLEXIBILITY,restricted flexibility,My flexibility is restricted
310,FLEXIBILITY,body movement stiffness,My body movement is stiff
311,FLEXIBILITY,stretch difficulty,I find stretching difficult
312,FLEXIBILITY,body loosening yoga,I want body loosening yoga
313,FLEXIBILITY,flexibility concern,I am concerned about flexibility
314,FLEXIBILITY,stiffness problem,I have stiffness problem
315,FLEXIBILITY,stretch improvement,I want to improve stretching
316,FLEXIBILITY,flexibility loss,I feel flexibility loss
317,FLEXIBILITY,body tight feeling,I feel tight in my body
318,FLEXIBILITY,stiff body problem,I have stiff body problem
319,FLEXIBILITY,body flexibility issue,I have body flexibility issue
320,FLEXIBILITY,stretch pain,I get pain while stretching
321,FLEXIBILITY,flexibility goal,My goal is flexibility
322,FLEXIBILITY,body stiffness continuously,I have continuous body stiffness
323,FLEXIBILITY,flexibility health,Flexibility is affecting my health
324,GENERAL_FITNESS,fitness,I want general fitness
325,GENERAL_FITNESS,healthy,I want to stay healthy
326,GENERAL_FITNESS,energy,I want more energy in my body
327,GENERAL_FITNESS,fitness,I want general fitness
328,GENERAL_FITNESS,healthy body,I want a healthy body
329,GENERAL_FITNESS,stay fit,I want to stay fit
330,GENERAL_FITNESS,body fitness,I want to improve body fitness
331,GENERAL_FITNESS,overall fitness,I want overall fitness
332,GENERAL_FITNESS,physical fitness,I want physical fitness
333,GENERAL_FITNESS,good health,I want good health
334,GENERAL_FITNESS,healthy lifestyle,I want a healthy lifestyle
335,GENERAL_FITNESS,active body,I want an active body
336,GENERAL_FITNESS,fit body,I want a fit body
337,GENERAL_FITNESS,body strength,I want body strength
338,GENERAL_FITNESS,energy,I want more energy
339,GENERAL_FITNESS,body energy,I want more energy in my body
340,GENERAL_FITNESS,stamina,I want to increase stamina
341,GENERAL_FITNESS,body stamina,I want better body stamina
342,GENERAL_FITNESS,physical strength,I want physical strength
343,GENERAL_FITNESS,healthy routine,I want a healthy routine
